"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot"
"1","1-OpenSpot 9990","445.00000","445.00000","D-Digital","Mid","12.5K","Off","Off","Parrot","Group Call","9990","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"2","USA Nation 93","445.00000","445.00000","D-Digital","Low","12.5K","Off","Off","USA - Nationwide","Group Call","3100","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","On","Digital","1","0","Off","0","1","0","255","255"
"3","World Wide BM 91","445.00000","445.00000","D-Digital","Low","12.5K","Off","Off","Worldwide BM91","Group Call","91","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","On","Digital","1","0","Off","0","1","0","255","255"
"4","AmRRON 1789","445.00000","445.00000","D-Digital","Mid","12.5K","Off","Off","Amrron 1789","Group Call","1789","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"5","CASig","445.00000","445.00000","D-Digital","Mid","12.5K","Off","Off","AmRRON","Group Call","1789","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"6","Am 01","445.00000","445.00000","D-Digital","Mid","12.5K","Off","Off","Parrot","Group Call","9990","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"7","Am 02","445.00000","445.00000","D-Digital","Mid","12.5K","Off","Off","Parrot","Group Call","9990","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"8","Am 03","445.00000","445.00000","D-Digital","Mid","12.5K","Off","Off","Parrot","Group Call","9990","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"9","Am 04","445.00000","445.00000","D-Digital","Mid","12.5K","Off","Off","Parrot","Group Call","9990","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"10","Am 05","445.00000","445.00000","D-Digital","Mid","12.5K","Off","Off","Parrot","Group Call","9990","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"11","Am 06","445.00000","445.00000","D-Digital","Mid","12.5K","Off","Off","Parrot","Group Call","9990","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"12","D-APRS1","445.00000","445.00000","D-Digital","Mid","12.5K","Off","Off","D-APRS1","Group Call","310998","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
"13","Jefferson State","445.00000","445.00000","D-Digital","Mid","12.5K","Off","Off","Jefferson State","Group Call","31821","HT","Always","Carrier","Off","1","1","1","Off","1","1","OpenSpot","OpenSpotALL","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0"
