"No.","Frequency[MHz]","Scan"
"1","88.300","Add"
"2","88.500","Add"
"3","90.500","Add"
"4","91.300","Add"
"5","91.700","Add"
"6","91.900","Add"
"7","92.300","Add"
"8","93.300","Add"
"9","95.100","Add"
"10","95.500","Add"
"11","96.300","Add"
"12","97.500","Add"
"13","99.900","Add"
"14","100.100","Add"
"15","101.500","Add"
"16","101.900","Add"
"17","102.300","Add"
"18","102.700","Add"
"19","103.300","Add"
"20","104.100","Add"
"21","105.500","Add"
"22","105.700","Add"
"23","106.300","Add"
"24","107.900","Add"
