"No.","Radio ID","Name","Call Type","Call Alert"
"1","9990","Parrot","Group Call","None"
"2","91","Worldwide BM91","Group Call","None"
"3","310998","D-APRS1","Group Call","None"
"4","1789","AmRRON","Group Call","Online Alert"
"5","31821","Jefferson State","Group Call","None"
"6","1789","Amrron 1789","Group Call","None"
"7","31328","SNARS","Group Call","None"
"8","31329","SNARS 2","Group Call","None"
"9","21","Network","Group Call","None"
"10","23","Carla","Group Call","None"
"11","9911","Emcom US","Group Call","None"
"12","973","SOTA","Group Call","None"
"13","9101","Worldwide Mariti","Group Call","None"
"14","9102","Worldwide Aviati","Group Call","None"
"15","9112","Emcom EU","Group Call","None"
"16","9107","XRF007 B","Group Call","None"
"17","9502","XRF250C Bridge","Group Call","None"
"18","91665","Marines RNLMC","Group Call","None"
"19","95150","Global NorCal 51","Group Call","None"
"20","310","Tac 310","Group Call","None"
"21","311","Tac 311","Group Call","None"
"22","312","Tac 312","Group Call","None"
"23","313","TAC 313 USA","Group Call","None"
"24","314","TAC 314 USA","Group Call","None"
"25","315","TAC 315 USA","Group Call","None"
"26","316","TAC 316 USA","Group Call","None"
"27","317","TAC 317 USA","Group Call","None"
"28","318","TAC 318 USA","Group Call","None"
"29","319","TAC 319 USA","Group Call","None"
"30","31064","Santa Clara Coun","Group Call","None"
"31","31065","NorCal AllStar","Group Call","None"
"32","31066","SoCal","Group Call","None"
"33","31067","SoCal 1","Group Call","None"
"34","31068","NorCal","Group Call","None"
"35","31069","NorCal 1","Group Call","None"
"36","31070","VCDRC","Group Call","None"
"37","31071","VCDRC 2","Group Call","None"
"38","31072","California TAC","Group Call","None"
"39","31073","SBARC","Group Call","None"
"40","31074","SD SAR Team","Group Call","None"
"41","31075","BayNet","Group Call","None"
"42","31076","CDM","Group Call","None"
"43","31077","PAPA Chat","Group Call","None"
"44","31078","PAPA Bridge","Group Call","None"
"45","31079","Alert Radio","Group Call","None"
"46","3100","USA - Nationwide","Group Call","None"
"47","3101","Alabama","Group Call","None"
"48","3102","Alaska","Group Call","None"
"49","3104","Arizona","Group Call","None"
"50","3105","Arkansas","Group Call","None"
